omega_m,lane,quantum_model,amplitude,stable,refinement_l2,max_correction_ratio,turning_points,blowup_near_turning,final_a,passes_refinement_gate,passes_ratio_gate
0.312,bohmian_q,unified_dmde_proxy,1.4165385773852007e-06,True,4.038127716350473e-05,4.8295695584885375e-06,2,False,1e-06,False,True
0.312,alpha_qg,n/a,1.6831747249677917e-06,True,0.00017446427277223195,3.837979152506164,2,False,0.30705562605490244,False,False
0.312,bohmian_q,off,1.6831747249677917e-06,True,4.850577497821907e-05,0.0,2,False,1e-06,False,True
0.312,bohmian_q,gaussian,1.6831747249677917e-06,True,3.979331146429197e-05,5.545866566373728e-06,2,False,1e-06,False,True
0.312,bohmian_q,plateau,1.6831747249677917e-06,True,3.837925451723473e-05,5.824534021312853e-06,2,False,1e-06,False,True
0.312,bohmian_q,unified_dmde_proxy,1.6831747249677917e-06,True,3.881589317880836e-05,5.738620639762013e-06,2,False,1e-06,False,True
0.312,alpha_qg,n/a,2e-06,True,9.840518942106456e-05,3.8262810765892072,2,False,0.30222213060659275,False,False
0.312,bohmian_q,off,2e-06,True,4.850577497821907e-05,0.0,2,False,1e-06,False,True
0.312,bohmian_q,gaussian,2e-06,True,3.8113420959054425e-05,6.58974038570619e-06,2,False,1e-06,False,True
0.312,bohmian_q,plateau,2e-06,True,3.642527376077271e-05,6.920857504976697e-06,2,False,1e-06,False,True
0.312,bohmian_q,unified_dmde_proxy,2e-06,True,3.694627111677893e-05,6.818773832026079e-06,2,False,1e-06,False,True
0.3125,alpha_qg,n/a,3e-07,True,0.038148373878492514,3.7339836879732693,2,False,0.2757615819441322,False,False
0.3125,bohmian_q,off,3e-07,False,0.0004088043035927507,0.0,2,False,1e-06,False,True
0.3125,bohmian_q,gaussian,3e-07,False,3.0279707970075267e-05,9.733800545837634e-07,2,False,1e-06,False,True
0.3125,bohmian_q,plateau,3e-07,False,3.082171330919817e-05,1.0232094450547142e-06,2,False,1e-06,False,True
0.3125,bohmian_q,unified_dmde_proxy,3e-07,False,3.0653839877788417e-05,1.0078300005286348e-06,2,False,1e-06,False,True
0.3125,alpha_qg,n/a,3.5646923109036204e-07,True,0.018257852602716514,3.877901820060485,2,False,0.30599362790470513,False,False
0.3125,bohmian_q,off,3.5646923109036204e-07,False,0.0004088043035927507,0.0,2,False,1e-06,False,True
0.3125,bohmian_q,gaussian,3.5646923109036204e-07,False,3.092272336072721e-05,1.1565992694700561e-06,2,False,1e-06,False,True
0.3125,bohmian_q,plateau,3.5646923109036204e-07,False,3.157523145778858e-05,1.215807962429817e-06,2,False,1e-06,False,True
0.3125,bohmian_q,unified_dmde_proxy,3.5646923109036204e-07,False,3.137298712643006e-05,1.1975336702115278e-06,2,False,1e-06,False,True
0.3125,alpha_qg,n/a,4.2356770904717955e-07,True,0.011825126716202916,3.8341012490563644,2,False,0.31535228670885984,False,False
0.3125,bohmian_q,off,4.2356770904717955e-07,False,0.0004088043035927507,0.0,2,False,1e-06,False,True
0.3125,bohmian_q,gaussian,4.2356770904717955e-07,False,3.169698568028943e-05,1.374305623018484e-06,2,False,1e-06,False,True
0.3125,bohmian_q,plateau,4.2356770904717955e-07,False,3.24846548960285e-05,1.4446590415233549e-06,2,False,1e-06,False,True
0.3125,bohmian_q,unified_dmde_proxy,4.2356770904717955e-07,False,3.224030200084917e-05,1.4229450174406565e-06,2,False,1e-06,False,True
0.3125,alpha_qg,n/a,5.032961851958474e-07,True,0.007575699886591805,3.8640137082968757,2,False,0.32111653385815153,False,False
0.3125,bohmian_q,off,5.032961851958474e-07,False,0.0004088043035927507,0.0,2,False,1e-06,False,True
0.3125,bohmian_q,gaussian,5.032961851958474e-07,False,3.263185322758387e-05,1.6329905095650687e-06,2,False,1e-06,False,True
0.3125,bohmian_q,plateau,5.032961851958474e-07,False,3.3585862277144094e-05,1.7165863629051249e-06,2,False,1e-06,False,True
0.3125,bohmian_q,unified_dmde_proxy,5.032961851958474e-07,False,3.3289583401219653e-05,1.6907851650950175e-06,2,False,1e-06,False,True
0.3125,alpha_qg,n/a,5.980320138249203e-07,True,0.004771660608921719,3.882471636126798,2,False,0.3244452472024405,False,False
0.3125,bohmian_q,off,5.980320138249203e-07,False,0.0004088043035927507,0.0,2,False,1e-06,False,True
0.3125,bohmian_q,gaussian,5.980320138249203e-07,False,3.376448275861247e-05,1.9403671433264478e-06,2,False,1e-06,False,True
0.3125,bohmian_q,plateau,5.980320138249203e-07,True,3.4924774852065086e-05,2.0396979649904534e-06,2,False,1e-06,False,True
0.3125,bohmian_q,unified_dmde_proxy,5.980320138249203e-07,True,3.45639393992508e-05,2.0090402919710706e-06,2,False,1e-06,False,True
0.3125,alpha_qg,n/a,7.106000404519682e-07,True,0.002916060224400151,3.875756922858902,2,False,0.3260870998136873,False,False
0.3125,bohmian_q,off,7.106000404519682e-07,False,0.0004088043035927507,0.0,2,False,1e-06,False,True
0.3125,bohmian_q,gaussian,7.106000404519682e-07,True,3.514253251053399e-05,2.3056005176709895e-06,2,False,1e-06,False,True
0.3125,bohmian_q,plateau,7.106000404519682e-07,True,3.656112152008994e-05,2.423627971367358e-06,2,False,1e-06,False,True
0.3125,bohmian_q,unified_dmde_proxy,7.106000404519682e-07,True,3.611919481161575e-05,2.387199727957956e-06,2,False,1e-06,False,True
0.3125,alpha_qg,n/a,8.443568334423105e-07,True,0.0017662116686922426,3.7705601073941786,2,False,0.3263774394910527,False,False
